K,Rem,cdrag
1.2,2477.6652912183304,1.660820859475372
1.2,2539.7821128811506,1.6559103154326635
1.2,2539.7821128811506,1.7027155973499708
1.2,2475.8548742588555,1.6616997768167496
1.2,2538.461325529111,1.656372971144446
1.2,2538.461325529111,1.7034281391278667
1.2,2473.9745346743694,1.662620089018062
1.2,2537.068264983855,1.6568616227400743
1.2,2537.068264983855,1.7041773028826064
1.2,2472.0007358639737,1.6635819365453222
1.2,2535.6192224146425,1.6573703778272413
1.2,2535.6192224146425,1.704960125520948
1.2,2469.941561797949,1.6645884604818657
1.2,2534.106193518041,1.657902246879908
1.2,2534.106193518041,1.7057767007787965
1.2,2467.797200833191,1.6656398260548098
1.2,2532.5454484290976,1.658451657490643
1.2,2532.5454484290976,1.7066273540929118
1.2,2465.5678488990784,1.6667366672641621
1.2,2530.9128249475275,1.6590269147370653
1.2,2530.9128249475275,1.7075117326783968
1.2,2463.2537094529976,1.667875236905308
1.2,2529.21652086868,1.65962542599247
1.2,2529.21652086868,1.7084301703120244
1.2,2460.854993434248,1.669059181627019
1.2,2527.456649177612,1.6602472433450715
1.2,2527.456649177612,1.709388931413758
1.2,2458.356210528101,1.6702947271422146
1.2,2525.6494575319175,1.6608867850571325
1.2,2525.6494575319175,1.7103760586096248
1.2,2455.78901819064,1.6715704896077284
1.2,2523.778915613099,1.661549733818709
1.2,2523.778915613099,1.7114006745077137
1.2,2453.1300872065003,1.6728892156607291
1.2,2521.837093029357,1.662238805165554
1.2,2521.837093029357,1.7124595979894972
1.2,2450.3875129705516,1.6742567061186628
1.2,2519.8482820805343,1.6629457557681404
1.2,2519.8482820805343,1.7135503219828505
1.2,2447.5693680139157,1.6756650266466895
1.2,2517.7964945410704,1.6636762881545342
1.2,2517.7964945410704,1.7146789312726947
1.2,2444.6602511994406,1.6771230390423348
1.2,2515.689903780775,1.6644274704112978
1.2,2515.689903780775,1.715842475261033
1.2,2441.6682572091463,1.6786279586180122
1.2,2513.504537287536,1.6652080257152913
1.2,2513.504537287536,1.7170408670254425
1.2,2438.5936556604297,1.6801765225192764
1.2,2511.272676527578,1.6660066943803422
1.2,2511.272676527578,1.7182778201611648
1.2,2435.4289326646644,1.6817790758719804
1.2,2508.978393919077,1.6668292079148013
1.2,2508.978393919077,1.7195501571297662
1.2,2432.182180276681,1.6834232079675235
1.2,2506.6298529612445,1.6676726309261536
1.2,2506.6298529612445,1.720854915515406
1.2,2428.8614618099473,1.6851153004410593
1.2,2504.219183188698,1.6685400396318244
1.2,2504.219183188698,1.7221953652712532
1.2,2425.459283998384,1.6868525654951276
1.2,2501.7545418256914,1.6694288280785872
1.2,2501.7545418256914,1.7235750303331476
1.2,2421.9681976493007,1.6886388304151245
1.2,2499.2200869882904,1.670344437331126
1.2,2499.2200869882904,1.7249936370849632
1.2,2418.388543077096,1.6902891092458792
1.2,2496.631974886038,1.6712812478516266
1.2,2496.631974886038,1.7264421890536144
1.2,2414.7438678249537,1.6919488498310324
1.2,2493.9983305991855,1.67223664005855
1.2,2493.9983305991855,1.727927354150804
1.2,2411.018989428979,1.6936522615546012
1.2,2491.2794346891974,1.6732251552153925
1.2,2491.2794346891974,1.729461457995675
1.2,2407.1833891230176,1.6954069307884858
1.2,2488.523303631885,1.6742293863220055
1.2,2488.523303631885,1.7310231284810573
1.2,2403.291442969885,1.6972003136092513
1.2,2485.698232146215,1.675260868031281
1.2,2485.698232146215,1.732621533908782
1.2,2399.3203261927606,1.6990317105619743
1.2,2482.828265957226,1.6763112502498698
1.2,2482.828265957226,1.73415150420685
1.2,2395.4165686106744,1.7009106256972377
1.2,2479.897668165958,1.6773863586629878
1.2,2479.897668165958,1.7356304631682904
1.2,2391.555358887096,1.7028313397521915
1.2,2435.0570947934502,1.6932258783239131
1.2,2435.0570947934502,1.739457806627491
1.2,2379.5847948958367,1.693468440195092
1.2,2434.9694350463437,1.6932574010126775
1.2,2434.9694350463437,1.7395048272445286
1.2,2379.4634400406676,1.693529650122648
1.2,2434.8306463631934,1.6933075880990875
1.2,2434.8306463631934,1.7395825327703895
1.2,2379.263573823557,1.6936285619698879
1.2,2434.640736758893,1.693376144486412
1.2,2434.640736758893,1.7396878987077466
1.2,2378.9923514297698,1.6937647732401069
1.2,2434.3778074150127,1.6934710323474953
1.2,2434.3778074150127,1.7398292122153298
1.2,2378.628386969124,1.6939433927937255
1.2,2434.0783918078864,1.6935790960140984
1.2,2434.0783918078864,1.7399984183511412
1.2,2378.1931239570577,1.6941625267984164
